RAJ2000,DEJ2000,Flux1000
0.106,-73.8956,1.5654428E-10
0.3104,47.6791,1.4212193E-10
0.3148,-7.7871,8.4358215E-10
0.365,21.2055,9.802744E-10
0.397,-41.9444,2.630416E-10
0.4367,35.0508,1.349206E-10
0.5426,-67.4719,2.3365052E-10
0.5493,75.0545,2.9781774E-10
0.7305,62.2793,2.6415181E-09
0.7768,-52.8098,2.8716388E-10
0.7839,22.1444,1.5626858E-10
0.8113,25.1953,1.9434232E-10
0.8333,-59.0941,1.3887963E-10
0.8364,7.3024,1.3383492E-10
0.851,-19.4639,3.3002295E-10
0.9036,30.9842,4.182824E-10
1.0062,8.6724,2.0727273E-10
1.0105,-11.8172,2.768108E-10
1.0144,-40.07,1.368506E-10
1.0177,57.2489,4.2934828E-10
1.1194,-47.6347,4.6966186E-10
1.2199,66.398,7.9259355E-10
1.4614,38.398,4.626755E-10
1.5937,-6.3457,1.3789457E-10
1.6008,1.6063,1.9189883E-10
1.6862,46.3119,2.1231779E-10
1.7647,73.0524,6.722579E-08
1.9235,40.132,3.647276E-10
1.9274,-39.7821,1.422219E-10
1.9961,47.1929,1.952317E-09
2.1151,69.4506,4.870832E-10
2.1196,-23.6474,2.0347411E-10
2.1269,14.9316,3.2789968E-10
2.1657,68.1767,4.611805E-10
2.2156,68.842,7.160552E-10
2.2979,6.4816,4.804209E-10
2.303,25.1015,1.1728211E-10
2.3482,50.509,2.7372966E-09
2.3483,17.736,1.4742779E-10
2.3814,-14.2917,2.28106E-10
2.4366,-32.2923,1.8753166E-10
2.4691,-43.2857,2.0940388E-10
2.5159,-50.2084,1.64868E-10
2.6576,-30.4341,3.362014E-10
2.6851,20.771,1.9255374E-10
2.8126,-26.2029,1.1743176E-10
2.8502,0.9722,4.7878534E-10
2.9708,-31.7021,1.1231309E-10
2.9938,70.7397,4.501412E-10
3.0773,65.1229,5.123338E-10
3.2815,-39.9308,4.5121E-10
3.4173,40.8572,1.7973896E-10
3.449,-4.4009,1.8046926E-10
3.4751,-18.9143,2.711248E-10
3.5393,19.175,1.8323097E-10
3.5585,-50.3805,2.2157996E-10
3.5696,-5.0125,4.1680884E-10
3.5754,8.9297,1.9880929E-10
3.6774,58.0255,3.693701E-10
3.709,32.1807,2.214403E-10
3.7223,61.3036,8.7160634E-10
3.8253,35.6185,1.313793E-10
3.9054,55.864,3.9018744E-10
3.9882,24.6932,2.2050256E-10
4.0554,-0.2731,4.891831E-10
4.0793,17.1057,1.7920092E-10
4.2631,-6.8399,3.405388E-10
4.3081,-46.0797,1.00205844E-10
4.3748,66.4469,4.8267074E-10
4.3998,-5.2319,8.5036106E-10
4.4898,14.9234,2.326024E-10
4.6221,29.7789,2.4601052E-10
4.8081,-56.6823,2.2336658E-10
4.8598,-81.8772,6.076925E-10
4.9071,73.4566,1.4161033E-09
4.9176,20.3822,3.0289185E-10
5.2571,3.374,1.7462942E-10
5.3461,-59.3388,2.476091E-10
5.3901,-25.8669,6.362552E-10
5.4989,-51.6709,5.8577515E-10
5.5126,0.1123,9.217869E-11
5.5301,-18.9092,8.3337337E-10
5.6359,6.1354,1.948276E-09
5.8103,-68.3338,2.1561802E-10
5.8617,9.3476,1.212176E-09
5.922,-42.1491,1.1977312E-10
5.9721,44.9511,4.3024873E-10
5.9905,16.0604,2.7112873E-10
5.9937,-72.0805,4.502479E-09
6.0388,24.0238,1.9585938E-10
6.1587,46.7223,2.0901295E-10
6.1949,3.8368,1.9428092E-10
6.2854,-22.5251,1.1370723E-10
6.3519,64.1432,8.484032E-10
6.3671,-48.6294,1.6491683E-10
6.4172,-48.0254,3.5312278E-10
6.5397,-7.5477,1.390656E-10
6.6499,-46.0158,2.296722E-10
7.0205,75.0971,4.6617926E-10
7.1312,20.0458,4.848885E-10
7.2582,35.8749,2.2236968E-10
7.2666,-70.7355,5.82849E-10
7.366,20.8647,6.399632E-11
7.5641,-16.799,3.0459335E-10
7.6051,5.9064,1.6086989E-10
7.6071,-42.425,1.0882505E-09
7.6099,4.8555,1.0080128E-08
7.662,-2.2052,1.6575952E-09
7.7679,-23.4787,1.7254324E-10
7.8237,7.4489,2.1230917E-10
7.8517,-56.7886,1.3251518E-10
8.0842,-55.3544,4.944104E-10
8.0965,-28.8269,1.9519114E-10
8.3941,-19.3585,2.9632883E-09
8.5007,38.9178,1.7559383E-10
8.5119,-41.2778,2.2464701E-10
8.5964,-5.5816,2.7227463E-09
8.6676,64.6276,4.971794E-10
8.7423,-57.4319,1.3720276E-10
8.8103,15.2407,1.1093642E-09
8.8131,-17.6626,9.107554E-11
8.9842,59.8331,3.6522754E-09
9.2503,18.5522,3.2244674E-10
9.3362,-26.898,1.0352608E-10
9.3957,36.917,1.5602042E-10
9.4676,12.6511,7.129953E-10
9.5388,0.213,3.9834155E-10
9.5504,-24.989,2.7036076E-10
9.7779,-9.7527,2.2422368E-10
9.7839,-22.3331,2.1243378E-10
9.7927,62.9654,1.8660304E-09
9.795,43.5101,2.3700192E-10
9.9549,42.0683,1.5845525E-10
10.0953,40.8358,2.2301133E-10
10.1046,-23.6695,2.0077563E-10
10.1882,32.0785,1.7204688E-10
10.2182,-71.9595,2.0417705E-10
10.3644,38.0123,1.3890872E-10
10.373,60.9193,4.5760967E-10
10.4393,-16.1256,6.4469576E-11
10.4946,36.6642,1.5947109E-10
10.558,23.3305,4.1780054E-10
10.8229,41.2415,2.6377528E-10
10.876,-4.7077,2.0664905E-10
10.899,22.3883,1.6969637E-10
10.9323,-11.2823,2.3079433E-10
10.9724,34.4304,2.6247418E-09
10.9905,-84.3968,2.885377E-10
11.1952,68.0265,2.3825691E-10
11.3029,-37.115,4.538897E-10
11.3391,21.4669,1.6833346E-09
11.4304,12.2923,9.523181E-10
11.4768,-20.3674,1.4043254E-10
11.6327,-70.8053,1.1587006E-10
11.7462,56.9615,1.1502027E-09
11.8353,69.7138,1.2805698E-10
11.8978,-25.29,7.827697E-10
11.9734,39.7956,7.0537437E-10
11.9842,54.8029,1.1026981E-10
12.0007,22.5692,4.6378498E-10
12.164,-63.7824,4.1908685E-10
12.1795,-24.4448,1.6334174E-10
12.2516,22.8712,1.931226E-10
12.2717,42.3982,1.764679E-10
12.3532,-54.0456,2.9635558E-10
12.4043,-41.843,1.4182634E-10
12.4126,-44.9982,1.5365008E-10
12.4338,2.6305,1.0831901E-09
12.506,-57.6182,3.2937345E-10
12.6066,-4.8768,1.0742282E-09
12.6753,-9.4896,3.7863477E-09
12.7813,-6.811,9.068909E-10
12.8286,-62.7008,1.4582634E-09
12.916,-42.4068,1.570034E-10
13.0356,64.7451,6.4800976E-10
13.2634,-66.7282,1.1131194E-10
13.576,86.439,1.7856029E-10
13.6992,-24.9296,7.991813E-10
13.7203,-19.9292,1.3197902E-10
13.792,-12.311,4.528988E-10
13.9374,45.1227,8.191411E-11
14.0877,-9.5971,6.822798E-10
14.0916,-39.6162,1.09759306E-10
14.1255,-21.3015,7.2783135E-10
14.1754,-53.3022,1.9616349E-10
14.1999,16.4895,2.0237872E-10
14.2036,-44.9518,1.2204787E-10
14.4454,30.3772,3.0767525E-10
14.4866,63.4374,2.216578E-10
14.5,-72.75,3.4516192E-09
14.5132,-32.5608,1.4592788E-09
14.5154,-5.6611,4.4924053E-10
14.5583,-46.074,9.868379E-11
14.6225,33.2481,2.656079E-10
14.6323,-11.6916,1.1626218E-10
14.8122,0.1399,1.8953669E-10
14.8372,-1.8699,1.8931781E-10
14.865,-56.9219,3.9932674E-10
14.882,-35.2144,1.6680193E-10
15.0928,7.7639,1.6676662E-09
15.2566,-0.9886,1.4972422E-10
